county_fips_code,daily_change_cases_max,daily_change_deaths_max,daily_change_cases_mean,daily_change_deaths_mean,weekly_change_cases_max,weekly_change_deaths_max,weekly_change_cases_mean,weekly_change_deaths_mean,monthly_change_cases_max,monthly_change_deaths_max,monthly_change_cases_mean,monthly_change_deaths_mean,total_change_cases,total_change_deaths
1001,83.0,2.0,9.57345971563981,0.14218009478672985,168.0,6.0,67.71219512195123,0.9707317073170731,547.0,14.0,304.15384615384613,4.351648351648351,2021.0,30.0
1003,357.0,8.0,29.149321266968325,0.31221719457013575,862.0,12.0,207.2186046511628,2.1953488372093024,2490.0,22.0,930.1354166666666,9.0625,6443.0,69.0
1005,20.0,2.0,4.9502487562189055,0.04477611940298507,92.0,2.0,35.05128205128205,0.3230769230769231,272.0,4.0,157.77325581395348,1.3604651162790697,996.0,9.0
1007,29.0,2.0,3.897560975609756,0.06829268292682927,74.0,3.0,27.366834170854272,0.46733668341708545,236.0,6.0,117.375,1.9261363636363635,801.0,14.0
1009,38.0,7.0,8.914285714285715,0.11904761904761904,179.0,8.0,62.32843137254902,0.803921568627451,647.0,11.0,278.4585635359116,2.889502762430939,1873.0,25.0
1011,34.0,2.0,3.0382775119617227,0.08133971291866028,115.0,4.0,21.748768472906406,0.5862068965517241,275.0,9.0,101.97777777777777,2.588888888888889,637.0,17.0
1013,28.0,3.0,4.747619047619048,0.19047619047619047,104.0,7.0,34.03431372549019,1.3725490196078431,357.0,20.0,155.59116022099448,6.585635359116022,998.0,40.0
1015,114.0,8.0,19.16589861751152,0.271889400921659,467.0,14.0,134.98578199052133,1.957345971563981,1395.0,29.0,595.0053191489362,7.712765957446808,4160.0,59.0
1017,38.0,3.0,6.152777777777778,0.19907407407407407,116.0,7.0,42.55714285714286,1.4333333333333333,275.0,18.0,180.75401069518716,6.074866310160428,1330.0,43.0
1019,26.0,2.0,3.4380952380952383,0.06666666666666667,72.0,3.0,24.387254901960784,0.4803921568627451,220.0,7.0,107.02209944751381,2.2375690607734806,723.0,14.0
1021,46.0,6.0,8.69047619047619,0.1523809523809524,184.0,10.0,61.220588235294116,1.0686274509803921,544.0,18.0,273.3314917127072,5.016574585635359,1826.0,32.0
1023,37.0,3.0,1.8468899521531101,0.05741626794258373,59.0,6.0,13.206896551724139,0.41379310344827586,118.0,11.0,59.6,2.0,387.0,12.0
1025,166.0,1.0,6.261083743842365,0.08374384236453201,347.0,4.0,44.49238578680203,0.5786802030456852,542.0,7.0,198.7471264367816,2.7241379310344827,1273.0,17.0
1027,20.0,2.0,3.433333333333333,0.05714285714285714,72.0,3.0,23.970588235294116,0.4117647058823529,239.0,5.0,102.69613259668509,1.5469613259668509,722.0,12.0
1029,25.0,1.0,2.5285714285714285,0.03333333333333333,75.0,3.0,17.58823529411765,0.23529411764705882,208.0,5.0,71.41988950276243,0.9613259668508287,532.0,7.0
1031,48.0,2.0,8.311881188118813,0.04455445544554455,141.0,3.0,58.035714285714285,0.32142857142857145,399.0,4.0,247.39306358381504,1.1502890173410405,1682.0,9.0
1033,58.0,3.0,9.2,0.14285714285714285,229.0,5.0,64.8970588235294,0.946078431372549,729.0,12.0,290.97237569060775,4.30939226519337,1933.0,30.0
1035,13.0,2.0,2.7339901477832513,0.06403940886699508,57.0,5.0,19.614213197969544,0.4619289340101523,189.0,8.0,92.58620689655173,2.057471264367816,556.0,13.0
1037,11.0,1.0,0.9425837320574163,0.014354066985645933,20.0,1.0,6.630541871921182,0.10344827586206896,55.0,2.0,28.13888888888889,0.43333333333333335,199.0,3.0
1039,48.0,3.0,8.0,0.13942307692307693,140.0,6.0,56.71782178217822,1.004950495049505,475.0,17.0,249.60893854748602,4.698324022346369,1666.0,29.0
1041,29.0,6.0,2.8564593301435406,0.14354066985645933,76.0,13.0,20.177339901477833,1.0344827586206897,239.0,28.0,92.31666666666666,5.1,598.0,30.0
1043,63.0,2.0,10.73953488372093,0.11162790697674418,223.0,5.0,74.79904306220095,0.7751196172248804,785.0,8.0,324.10215053763443,3.274193548387097,2310.0,24.0
1045,72.0,8.0,8.064039408866995,0.2512315270935961,176.0,13.0,57.233502538071065,1.8121827411167513,523.0,28.0,255.9655172413793,8.114942528735632,1638.0,51.0
1047,45.0,3.0,8.847619047619048,0.12857142857142856,175.0,8.0,63.36274509803921,0.9264705882352942,615.0,16.0,298.7900552486188,4.248618784530387,1860.0,27.0
1049,117.0,2.0,15.564593301435407,0.1339712918660287,358.0,4.0,107.63546798029557,0.9211822660098522,1052.0,11.0,449.2388888888889,3.7055555555555557,3254.0,28.0
1051,59.0,6.0,14.085585585585585,0.23423423423423423,243.0,9.0,99.73611111111111,1.6851851851851851,787.0,24.0,443.3264248704663,7.725388601036269,3128.0,52.0
1053,78.0,4.0,8.235576923076923,0.1346153846153846,243.0,5.0,59.004950495049506,0.9653465346534653,748.0,9.0,275.877094972067,4.340782122905028,1714.0,28.0
1055,167.0,5.0,19.614285714285714,0.23333333333333334,365.0,12.0,136.87745098039215,1.6764705882352942,1307.0,22.0,607.5303867403314,6.939226519337017,4122.0,49.0
1057,14.0,2.0,2.7121951219512197,0.06341463414634146,51.0,4.0,19.01005025125628,0.4221105527638191,158.0,5.0,83.5340909090909,1.7159090909090908,557.0,13.0
1059,45.0,2.0,9.50943396226415,0.14622641509433962,129.0,5.0,67.10679611650485,1.0533980582524272,495.0,9.0,304.1256830601093,4.890710382513661,2017.0,31.0
1061,62.0,1.0,4.390625,0.036458333333333336,113.0,2.0,31.080645161290324,0.26344086021505375,305.0,3.0,133.13496932515338,1.0552147239263803,844.0,7.0
1063,12.0,2.0,1.6298076923076923,0.07692307692307693,34.0,3.0,11.435643564356436,0.5495049504950495,91.0,5.0,50.14525139664804,2.547486033519553,340.0,16.0
1065,20.0,3.0,3.6439024390243904,0.14634146341463414,58.0,6.0,25.884422110552762,1.0251256281407035,162.0,15.0,113.11363636363636,4.761363636363637,748.0,30.0
1067,34.0,1.0,3.1641791044776117,0.029850746268656716,66.0,2.0,22.369230769230768,0.2153846153846154,177.0,2.0,95.79651162790698,0.8604651162790697,638.0,6.0
1069,339.0,4.0,17.235849056603772,0.1509433962264151,474.0,7.0,122.67961165048544,1.0728155339805825,1171.0,11.0,532.24043715847,3.9344262295081966,3655.0,32.0
1071,47.0,1.0,9.553488372093023,0.06976744186046512,217.0,3.0,66.17224880382776,0.46411483253588515,657.0,4.0,279.56451612903226,1.7956989247311828,2055.0,15.0
1073,407.0,15.0,102.33333333333333,1.6846846846846846,1995.0,31.0,722.1574074074074,12.023148148148149,7264.0,91.0,3215.461139896373,55.09326424870466,22720.0,374.0
1075,13.0,2.0,2.130232558139535,0.023255813953488372,54.0,2.0,15.004784688995215,0.15789473684210525,149.0,3.0,64.79569892473118,0.46236559139784944,459.0,5.0
1077,44.0,3.0,9.87906976744186,0.18604651162790697,175.0,8.0,68.36363636363636,1.3301435406698565,635.0,14.0,298.11290322580646,5.559139784946237,2125.0,40.0
1079,21.0,8.0,3.857142857142857,0.14761904761904762,73.0,15.0,26.887254901960784,1.0392156862745099,238.0,21.0,113.42541436464089,4.370165745856354,811.0,31.0
1081,561.0,4.0,29.363636363636363,0.29545454545454547,1365.0,10.0,209.9158878504673,2.1542056074766354,2541.0,27.0,955.1780104712042,9.497382198952879,6461.0,65.0
1083,49.0,3.0,12.31981981981982,0.13513513513513514,249.0,5.0,86.63425925925925,0.8935185185185185,781.0,14.0,364.88082901554407,3.5544041450777204,2736.0,30.0
1085,29.0,2.0,3.354066985645933,0.1339712918660287,103.0,5.0,23.985221674876847,0.9359605911330049,275.0,11.0,109.66111111111111,4.488888888888889,702.0,28.0
1087,12.0,2.0,2.5679611650485437,0.0970873786407767,40.0,4.0,18.335,0.675,141.0,7.0,82.37288135593221,2.937853107344633,530.0,20.0
1089,288.0,5.0,41.637614678899084,0.43119266055045874,1296.0,15.0,294.66509433962267,3.0330188679245285,3782.0,34.0,1310.2539682539682,12.899470899470899,9078.0,94.0
1091,93.0,2.0,4.69377990430622,0.10526315789473684,171.0,3.0,32.92118226600985,0.729064039408867,281.0,7.0,132.88888888888889,3.2,982.0,22.0
1093,27.0,4.0,4.901869158878505,0.13551401869158877,137.0,8.0,34.91346153846154,0.9759615384615384,356.0,12.0,158.37297297297297,4.367567567567567,1050.0,29.0
1095,88.0,6.0,20.51904761904762,0.22857142857142856,369.0,12.0,145.7107843137255,1.642156862745098,1434.0,28.0,663.8729281767955,7.2430939226519335,4310.0,48.0
1097,570.0,10.0,66.68518518518519,1.4537037037037037,1830.0,25.0,475.0809523809524,10.457142857142857,5821.0,81.0,2182.561497326203,47.4331550802139,14405.0,314.0
1099,26.0,1.0,3.0676328502415457,0.04830917874396135,76.0,2.0,21.71641791044776,0.31840796019900497,234.0,3.0,100.56741573033707,1.3370786516853932,636.0,10.0
1101,228.0,6.0,44.229729729729726,0.8828828828828829,752.0,24.0,312.162037037037,6.347222222222222,2525.0,61.0,1417.6735751295337,29.11917098445596,9820.0,196.0
1103,69.0,3.0,18.9478672985782,0.15639810426540285,358.0,5.0,133.15121951219513,1.102439024390244,1200.0,17.0,581.5274725274726,5.021978021978022,4000.0,33.0
1105,30.0,1.0,2.9692307692307693,0.03076923076923077,95.0,2.0,21.238095238095237,0.2222222222222222,301.0,3.0,98.83734939759036,1.0903614457831325,581.0,6.0
1107,29.0,2.0,3.857142857142857,0.08095238095238096,80.0,2.0,27.024509803921568,0.5833333333333334,202.0,5.0,114.37016574585635,2.5027624309392267,811.0,17.0
1109,25.0,1.0,6.247619047619048,0.06190476190476191,99.0,3.0,44.5,0.4166666666666667,337.0,5.0,203.48618784530387,1.8895027624309393,1313.0,13.0
1111,18.0,1.0,3.8653846153846154,0.0673076923076923,68.0,3.0,27.18811881188119,0.48514851485148514,225.0,4.0,114.63128491620111,1.8268156424581006,805.0,14.0
1113,69.0,1.0,9.066666666666666,0.014285714285714285,231.0,1.0,65.02450980392157,0.10294117647058823,777.0,2.0,299.2596685082873,0.48066298342541436,1905.0,3.0
1115,62.0,3.0,13.013761467889909,0.1926605504587156,269.0,9.0,91.16981132075472,1.3867924528301887,961.0,20.0,396.14814814814815,6.1534391534391535,2838.0,42.0
1117,146.0,3.0,32.50454545454546,0.2772727272727273,665.0,8.0,228.76168224299064,1.9672897196261683,1981.0,15.0,1000.6492146596859,8.235602094240837,7153.0,61.0
1119,16.0,2.0,2.2780487804878047,0.1024390243902439,64.0,4.0,16.190954773869347,0.7386934673366834,160.0,8.0,71.63636363636364,3.4204545454545454,468.0,21.0
1121,71.0,3.0,11.935483870967742,0.16129032258064516,252.0,5.0,84.12322274881517,1.1374407582938388,901.0,11.0,367.6063829787234,4.9787234042553195,2591.0,35.0
1123,37.0,17.0,6.10377358490566,0.41037735849056606,118.0,28.0,42.980582524271846,2.9223300970873787,312.0,50.0,186.79234972677597,13.37704918032787,1295.0,87.0
1125,1090.0,6.0,45.33783783783784,0.6171171171171171,1611.0,15.0,320.23148148148147,4.296296296296297,3255.0,37.0,1418.740932642487,19.22279792746114,10066.0,137.0
